stage_detail,stage_name,stage_number,stage_status,stage_detail_number
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
1.1 LEADS,1 POS,1,Em andamento,1.1
